id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang	src_text
train-10	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-10_16k.wav:0:194315	12597	194315	<triplet> Bob Boyd <subj> Chattanooga <obj> Live <subj> Tenn. <obj> Live <triplet> Chattanooga <subj> Tenn. <obj> Locate	0	en	For singer and guitarist <entity> Bob Boyd </entity> , 57 , the Ranch has been home since he left <entity> Chattanooga </entity> , <entity> Tenn. </entity> , <entity> 35 years </entity> ago .
train-11	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-11_16k.wav:0:51652	3681	51652	<triplet> Rome <subj> Lazio <obj> Locate <triplet> Naples <subj> Campania <obj> Locate	0	en	<entity> Rome </entity> is in <entity> Lazio </entity> province and <entity> Naples </entity> in <entity> Campania </entity> .
train-12	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-12_16k.wav:0:184284	11970	184284	<triplet> State Department <subj> U.S. <obj> Base <triplet> Harvard <subj> U.S. <obj> Base	0	en	He has been the <entity> State Department </entity> 's refugee coordinator and is a former <entity> Harvard </entity> politics professor. _Ronald for the rank of ambassador during his tenure as <entity> U.S. </entity> negotiator on textile matters.
train-13	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-13_16k.wav:0:46078	3332	46078	<triplet> Mikhail Shevtsov <subj> ITAR-TASS <obj> Work	0	en	( By <entity> ITAR-TASS </entity> correspondent <entity> Mikhail Shevtsov </entity> )
train-14	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-14_16k.wav:0:138962	9137	138962	<triplet> Allan Fitzmaurice. <subj> XBT <obj> Work	0	en	It is not and never has been designed or advertised as a threatening or abusive type of thing , ' ' said <entity> XBT </entity> spokesman <entity> Allan Fitzmaurice. </entity>
train-15	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-15_16k.wav:0:81372	5538	81372	<triplet> Betsy Ross <subj> Philadelphia <obj> Live	0	en	In 1752 , flagmaker <entity> Betsy Ross </entity> was born in <entity> Philadelphia </entity> .
train-16	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-16_16k.wav:0:68369	4726	68369	<triplet> Fire Island National Seashore <subj> Patchogue <obj> Locate <subj> N.Y. <obj> Locate <triplet> Patchogue <subj> N.Y. <obj> Locate	0	en	<entity> Fire Island National Seashore </entity> , <entity> Patchogue </entity> , <entity> N.Y. </entity> ;
train-17	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-17_16k.wav:0:91033	6142	91033	<triplet> XINHUA <subj> Beijing <obj> Base	0	en	OW3004022094 <entity> Beijing </entity> <entity> XINHUA </entity> Domestic Service in Chinese <entity> 1149 GMT </entity> <entity> 29 Apr 94 </entity>
train-18	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-18_16k.wav:0:174629	11366	174629	<triplet> Boise <subj> Idaho <obj> Locate	0	en	In <entity> Idaho </entity> , where <entity> 76 , 000 acres </entity> have been blackened , smoke from fires miles away hung over <entity> Boise </entity> but no warnings were issued to stay indoors.
train-19	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-19_16k.wav:0:255988	16452	255988	<triplet> Santa Ana <subj> Southern California <obj> Locate	0	en	The strong <entity> Santa Ana </entity> winds that earlier produced wind gusts as high as <entity> 100 mph </entity> in <entity> Southern California </entity> , destroying a blimp , shutting down an airport , and cutting power to thousands of utility customers were subsiding , officials said .
train-20	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-20_16k.wav:0:190971	12388	190971	<triplet> Strom Thurmond <subj> Congress <obj> Work	0	en	But Sen. <entity> Strom Thurmond </entity> , R-S.C. , sponsor of a proposed constitutional amendment , said , ` ` An overwhelming majority of <entity> Americans </entity> are looking to the <entity> Congress </entity> to ... restore the proper civil respect for our American flag. ' '
train-21	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-21_16k.wav:0:205832	13317	205832	<triplet> Congress <subj> U.S. <obj> Base <subj> U.S. <obj> Base	0	en	With considerable rough sailing and difficulty anticipated in the process of ratification by the <entity> U.S. </entity> <entity> Congress </entity> , the <entity> Congress </entity> is hardly expected to complete the ratification process within the time limit set by the UR agreement .
train-22	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-22_16k.wav:0:224780	14501	224780	<triplet> Charles Guiteau <subj> President James Garfield <obj> Kill	0	en	In another scene , <entity> President James Garfield </entity> 's assassin <entity> Charles Guiteau </entity> ( <entity> Jonathan Hadary </entity> ) prances up and down the stairs of the gallows where he will be hanged , all the while singing a spirited <entity> Gospel </entity> tune about " going to the <entity> Lordy </entity> . "
train-23	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-23_16k.wav:0:37905	2822	37905	<triplet> SPACE CENTER <subj> Houston <obj> Base	0	en	<entity> SPACE CENTER </entity> , <entity> Houston </entity> ( <entity> AP </entity> )
train-24	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-24_16k.wav:0:117037	7767	117037	<triplet> Sirhan B. Sirhan <subj> Kennedy <obj> Kill	0	en	<entity> Grant B. Cooper </entity> , an attorney who defended <entity> Kennedy </entity> assassin <entity> Sirhan B. Sirhan </entity> , has died at age 87.
train-25	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-25_16k.wav:0:245212	15778	245212	<triplet> Woodrow Wilson <subj> Staunton , Va <obj> Live	0	en	<entity> Woodrow Wilson </entity> ( 28th President ) : Born at about midnight , leaving the date in doubt , <entity> Dec. </entity> 28 or 29 , 1856 , in a Presbyterian manse in <entity> Staunton , Va </entity> .
train-26	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-26_16k.wav:0:293138	18774	293138	<triplet> Peter Butler <subj> A. Copeland Enterprises Inc. <obj> Work <triplet> Henry A. Politz <subj> 5th U.S. Circuit Court of Appeals <obj> Work	0	en	` ` I 'm delighted , ' ' said <entity> Peter Butler </entity> , attorney for <entity> A. Copeland Enterprises Inc. </entity> _ the company which owns New Orleans-based <entity> Popeyes Famous Fried Chicken </entity> _ after Judge <entity> Henry A. Politz </entity> announced the decision for the three-judge <entity> 5th U.S. Circuit Court of Appeals </entity> panel .
train-27	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-27_16k.wav:0:37536	2798	37536	<triplet> PURCHASE <subj> N.Y . <obj> Locate	0	en	<entity> PURCHASE </entity> , <entity> N.Y . </entity>
train-28	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-28_16k.wav:0:283480	18170	283480	<triplet> Martin Van Buren <subj> Kinderhook , N.Y. <obj> Live	0	en	In 1782 , the first president who was a native citizen of the <entity> United States </entity> , <entity> Martin Van Buren </entity> , was born in <entity> Kinderhook , N.Y. </entity> In 1791 , composer <entity> Wolfgang Amadeus Mozart </entity> died in <entity> Vienna , Austria </entity> , at the age of 35 .
train-29	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-29_16k.wav:0:67631	4679	67631	<triplet> U.S. Coast Guard Training Center <subj> Petaluma <obj> Base <subj> Calif. <obj> Base <triplet> Petaluma <subj> Calif. <obj> Locate	0	en	<entity> U.S. Coast Guard Training Center </entity> , <entity> Petaluma </entity> , <entity> Calif. </entity> ;
train-30	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-30_16k.wav:0:180570	11738	180570	<triplet> IZVESTIYA <subj> Moscow <obj> Base	0	en	PM2303111794 <entity> Moscow </entity> <entity> IZVESTIYA </entity> in Russian <entity> 23 Mar 94 </entity> p 3
train-31	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-31_16k.wav:0:168310	10972	168310	<triplet> Pepperell <subj> West Point <obj> Base <subj> Ga. <obj> Base <triplet> West Point <subj> Ga. <obj> Locate	0	en	<entity> Pepperell </entity> , based in <entity> West Point </entity> , <entity> Ga. </entity> , manufactures Martex towels and Arrow shirts and has about a quarter of the nation 's home fashion textile market .
train-32	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-32_16k.wav:0:194690	12620	194690	<triplet> John Harvey Adamson <subj> Don Bolles <obj> Kill	0	en	In a brief order , the justices refused to reinstate the death sentence of <entity> John Harvey Adamson </entity> , who was convicted of murdering <entity> Phoenix </entity> newspaper reporter <entity> Don Bolles </entity> in 1976 .
train-33	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-33_16k.wav:0:127068	8394	127068	<triplet> Michael R. Gordon <subj> Montgomery County House delegation <obj> Work	0	en	<entity> Michael R. Gordon </entity> , chairman of the <entity> Montgomery County House delegation </entity> , thinks <entity> Ms. Toth </entity> is in an ` ` embarrassing ' ' position .
train-34	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-34_16k.wav:0:238525	15360	238525	<triplet> Vyacheslav Chornovil <subj> Ukrainian Popular Rukh <obj> Work	0	en	( Text ) <entity> Vyacheslav Chornovil </entity> , leader of the <entity> Ukrainian Popular Rukh </entity> , intends to run for the presidency in the <entity> 26 June , 1994 </entity> elections , officials in the <entity> Rukh press </entity> service told <entity> INTERFAX-Ukraine </entity> .
train-35	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-35_16k.wav:0:276792	17752	276792	<triplet> Slavko Mestrovic <subj> Croatian People 's Party <obj> Work	0	en	<entity> Slavko Mestrovic </entity> , secretary of the <entity> Croatian People 's Party </entity> , welcomes the deceleration in the case if it leads toward a just peace , the reintegration of the occupied Croatian territories , the return of the refugees to their homes , and the cessation of the war .
train-36	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-36_16k.wav:0:81005	5515	81005	<triplet> Port Arther <subj> Texas. <obj> Locate <triplet> Galveston <subj> Texas. <obj> Locate	0	en	CDT Tuesday in the area of <entity> Port Arther </entity> and <entity> Galveston </entity> , <entity> Texas. </entity>
train-37	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-37_16k.wav:0:241499	15546	241499	<triplet> George Tompkins <subj> KAL <obj> Work	0	en	<entity> KAL </entity> attorney <entity> George Tompkins </entity> countered that the main evidence in the case is a line drawn by <entity> Soviet </entity> officials on a map showing an off-course <entity> Flight 007 </entity> flying for several hours over Russian airspace hundreds of miles to the west of its planned route.
train-38	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-38_16k.wav:0:131904	8696	131904	<triplet> Lumberton <subj> N.C. <obj> Locate	0	en	<entity> Jacobs </entity> , 20 , and <entity> Eddie Hatcher </entity> , 31 , were charged in the 1988 takeover in <entity> Lumberton </entity> , <entity> N.C. </entity>
train-39	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-39_16k.wav:0:88803	6003	88803	<triplet> Jack Ruby <subj> Oswald <obj> Kill	0	en	<entity> Jack Ruby </entity> bought the revolver for $62.50 in a <entity> Dallas </entity> gun shop and used it to shoot <entity> Oswald </entity> two days after <entity> Kennedy </entity> was assassinated.
train-40	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-40_16k.wav:0:281622	18054	281622	<triplet> Jean Bertrand Aristide <subj> Haiti <obj> Live	0	en	In the communique , the <entity> Group of Rio </entity> states that " the Haitian crisis can be resolved only if unrestricted respect is shown for the Governor 's Island Agreement which calls for the prompt return of Haitian President <entity> Jean Bertrand Aristide </entity> to the exercise of his constitutional powers in <entity> Haiti </entity> .
train-41	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-41_16k.wav:0:167194	10902	167194	<triplet> Robert Ford <subj> Jesse James <obj> Kill	0	en	In 1882 , the notorious outlaw <entity> Jesse James </entity> was shot to death in <entity> St. Joseph , Mo. </entity> , by <entity> Robert Ford </entity> , a member of his own gang .
train-42	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-42_16k.wav:0:150476	9857	150476	<triplet> Robert Bernero <subj> NRC <obj> Work	0	en	<entity> Robert Bernero </entity> , chief of waste disposal for the <entity> NRC </entity> , said the shafts would be ` ` the first major holes to be dug into the <entity> Yucca Mountain </entity> formation. ' '
train-43	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-43_16k.wav:0:185770	12063	185770	<triplet> Datuk Sri Dr. Mahathir <subj> Malaysia <obj> Live	0	en	<entity> Datuk Sri Dr. Mahathir </entity> said the two leaders had invited him to make an official visit to <entity> South Africa </entity> and he also had extended invitations to the two to make a similar visit to <entity> Malaysia </entity> .
train-44	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-44_16k.wav:0:25650	2055	25650	<triplet> AP <subj> SAN FRANCISCO <obj> Base	0	en	<entity> SAN FRANCISCO </entity> ( <entity> AP </entity> )
train-45	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-45_16k.wav:0:28623	2241	28623	<triplet> ITAR-TASS <subj> Moscow <obj> Base	0	en	<entity> Moscow </entity> <entity> ITAR-TASS </entity>
train-46	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-46_16k.wav:0:375244	23905	375244	<triplet> The Environmental Protection Agency <subj> Washington , D.C. <obj> Base <triplet> Robin Woods <subj> The Environmental Protection Agency <obj> Work <triplet> Woods <subj> The Environmental Protection Agency <obj> Work	0	en	<entity> The Environmental Protection Agency </entity> is working on a brochure advising diabetics of the best way to dispose of needles , said <entity> Robin Woods </entity> , a spokeswoman for the agency in <entity> Washington , D.C. </entity> It will suggest that diabetics place ` ` sharps ' ' _ the needle end of a syringe _ in a hard plastic or metal container like a coffee can before throwing it in the trash , <entity> Woods </entity> said.
train-47	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-47_16k.wav:0:167946	10948	167946	<triplet> Woodrow Wilson <subj> Virginia <obj> Live	0	en	True , <entity> Woodrow Wilson </entity> was born in <entity> Virginia </entity> , but he won his political fame as governor of <entity> New Jersey </entity> , so he hardly counted as a <entity> Southerner </entity> in political terms .
train-48	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-48_16k.wav:0:92896	6258	92896	<triplet> Gerald Schwartz. <subj> Miami Beach <obj> Live	0	en	` ` You can count it on your fingertips , ' ' said veteran <entity> Miami Beach </entity> political <entity> Gerald Schwartz. </entity>
train-49	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-49_16k.wav:0:300202	19215	300202	<triplet> Lee Harvey Oswald <subj> President Kennedy <obj> Kill <subj> Dallas Police Officer J.D. Tippit. <obj> Kill	0	en	Not content with that major error , the <entity> Journal </entity> editorial illustrated a lack of understanding of the overwhelming evidence in the <entity> Warren Commission Report </entity> proving that <entity> Lee Harvey Oswald </entity> was the lone gunman who killed <entity> President Kennedy </entity> and who 45 minutes later killed <entity> Dallas Police Officer J.D. Tippit. </entity>
train-50	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-50_16k.wav:0:199518	12922	199518	<triplet> Prince Ranariddh <subj> Cambodia <obj> Live <subj> Phnom Penh government <obj> Work <triplet> Phnom Penh government <subj> Cambodia <obj> Base	0	en	Meanwhile , on a separate occasion , <entity> Prince Ranariddh </entity> , first prime of <entity> Cambodia </entity> , reiterated the <entity> Phnom Penh government </entity> 's wish to open a Cambodian Embassy in <entity> Jakarta </entity> as soon as possible .
train-51	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-51_16k.wav:0:41623	3054	41623	<triplet> Church 's <subj> San Antonio <obj> Base	0	en	<entity> Church 's </entity> is headquartered in <entity> San Antonio </entity> .
train-52	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-52_16k.wav:0:137843	9068	137843	<triplet> Benton <subj> Tenn. <obj> Locate <triplet> Tennessee Tech <subj> Tenn. <obj> Base <subj> Cookville <obj> Base <triplet> Cookville <subj> Tenn. <obj> Locate	0	en	He graduated from high school from <entity> Benton </entity> , <entity> Tenn. </entity> and from <entity> Tennessee Tech </entity> in <entity> Cookville </entity> , and holds a doctorate in physics from <entity> Virginia Tech </entity> .
train-53	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-53_16k.wav:0:116297	7721	116297	<triplet> Harold Lloyd <subj> Burchard , Neb <obj> Live	0	en	In 1893 , comedian <entity> Harold Lloyd </entity> was born in <entity> Burchard , Neb </entity> .
train-54	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-54_16k.wav:0:23044	1893	23044	<triplet> BTA <subj> Sofia <obj> Base	0	en	<entity> Sofia </entity> <entity> BTA </entity>
train-55	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-55_16k.wav:0:81372	5538	81372	<triplet> Betsy Ross <subj> Philadelphia <obj> Live	0	en	In 1752 , flagmaker <entity> Betsy Ross </entity> was born in <entity> Philadelphia </entity> .
train-56	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-56_16k.wav:0:94008	6328	94008	<triplet> GSA Depot <subj> Davisville <obj> Locate <subj> R.I. <obj> Locate <triplet> Davisville <subj> R.I. <obj> Locate <triplet> Mineral Wells <subj> Texas <obj> Locate	0	en	<entity> GSA Depot </entity> , <entity> Davisville </entity> , <entity> R.I. </entity> ; and <entity> Mineral Wells </entity> , <entity> Texas </entity> .
train-57	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-57_16k.wav:0:200634	12992	200634	<triplet> Mrs. Parks <subj> Montgomery <obj> Live <subj> Ala. <obj> Live <triplet> Montgomery <subj> Ala. <obj> Locate	0	en	<entity> King </entity> rose to prominence after <entity> Mrs. Parks </entity> ' action in December <entity> 1955 </entity> in <entity> Montgomery </entity> , <entity> Ala. </entity> , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .
train-58	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-58_16k.wav:0:152705	9996	152705	<triplet> Sirhan <subj> Kennedy <obj> Kill	0	en	<entity> Kennedy </entity> had just won <entity> California </entity> 's Democratic presidential primary when <entity> Sirhan </entity> shot him in <entity> Los Angeles </entity> on <entity> June </entity> 5 , 1968 .
train-59	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-59_16k.wav:0:241870	15569	241870	<triplet> Caracas <subj> Venezuela <obj> Locate <triplet> Carlos Andres Perez <subj> Caracas <obj> Live <subj> Venezuela <obj> Live	0	en	<entity> Dan Quayle </entity> 's first trip out of the country as vice is likely to be to <entity> Caracas </entity> , <entity> Venezuela </entity> , for <entity> Carlos Andres Perez </entity> 's presidential inauguration on <entity> Feb. 2 , </entity> an official in President-elect Bush 's transition said Thursday .
train-60	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-60_16k.wav:0:238530	15360	238530	<triplet> Rogers <subj> Fort Worth , Texas <obj> Live	0	en	<entity> Rogers </entity> , a native of <entity> Fort Worth , Texas </entity> , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous <entity> Oklahoma </entity> cowboy humorist <entity> Will Rogers </entity> .
train-61	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-61_16k.wav:0:68741	4749	68741	<triplet> Sirhan <subj> Kennedy <obj> Kill	0	en	<entity> Sirhan </entity> says he was the lone assassin but can 't remember shooting <entity> Kennedy </entity> .
train-62	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-62_16k.wav:0:140820	9253	140820	<triplet> Nsukka <subj> Nigeria <obj> Locate	0	en	The registrar of the <entity> University </entity> of <entity> Nigeria </entity> 's <entity> Nsukka </entity> campus , <entity> U. Umeh </entity> , said he had closed the university on the advice of the government .
train-63	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-63_16k.wav:0:131156	8650	131156	<triplet> Denver <subj> Colorado <obj> Locate	0	en	In <entity> Colorado </entity> , <entity> 13 inches </entity> of snow in <entity> Denver </entity> Wednesday prompted officials to close Interstate 270 temporarily .
train-64	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-64_16k.wav:0:159766	10438	159766	<triplet> Edward Marks <subj> Montgomery County Democratic Party <obj> Work	0	en	<entity> Edward Marks </entity> , an official with the <entity> Montgomery County Democratic Party </entity> , argued that if <entity> Ms. Toth </entity> is not interested in the job , ` ` she should get out. .. .
train-65	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-65_16k.wav:0:26389	2102	26389	<triplet> IZVESTIYA <subj> Moscow <obj> Base	0	en	<entity> Moscow </entity> <entity> IZVESTIYA </entity>
train-66	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-66_16k.wav:0:151593	9927	151593	<triplet> St. Nicholas Hospital <subj> Gosforth <obj> Base <subj> England <obj> Base <triplet> Gosforth <subj> England <obj> Locate	0	en	He said he only learned his father was a war-stress patient at <entity> St. Nicholas Hospital </entity> in <entity> Gosforth </entity> in northeast <entity> England </entity> after he died <entity> two years </entity> ago .
train-67	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-67_16k.wav:0:88064	5956	88064	<triplet> ROYAL OAK <subj> Mich . <obj> Locate	0	en	<entity> ROYAL OAK </entity> , <entity> Mich . </entity>
train-68	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-68_16k.wav:0:232952	15012	232952	<triplet> Aleksandr Kruhlow <subj> Sevastopol <obj> Live	0	en	The session was opened by <entity> Aleksandr Kruhlow </entity> , a 72-year-old deputy from <entity> Sevastopol </entity> , organizer of many meetings in <entity> Nakhimov Square </entity> , and an untiring fighter for the return of <entity> Sevastopol </entity> and the <entity> Crimea </entity> to <entity> Russia </entity> .
train-69	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-69_16k.wav:0:128557	8487	128557	<triplet> Kenneth Compton. <subj> Coast Guard <obj> Work	0	en	The <entity> Coast Guard </entity> rescued seven people from a sinking shrimp boat near the <entity> Sabine Pass station </entity> , said station chief <entity> Kenneth Compton. </entity>
train-70	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-70_16k.wav:0:254129	16336	254129	<triplet> Lee Harvey Oswald <subj> Kennedy <obj> Kill	0	en	Most of the work conducted by the <entity> Warren Commission </entity> , which concluded that <entity> Lee Harvey Oswald </entity> acted alone in the <entity> Kennedy </entity> slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .
train-71	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-71_16k.wav:0:73200	5027	73200	<triplet> George Gershwin <subj> New York <obj> Live	0	en	In 1898 , composer <entity> George Gershwin </entity> was born in <entity> New York </entity> .
train-72	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-72_16k.wav:0:249300	16034	249300	<triplet> Marvin Feuerwerger <subj> Washington Institute for Near East Policy <obj> Work	0	en	" <entity> U.S. </entity> decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , " says <entity> Marvin Feuerwerger </entity> in a <entity> 1991 </entity> study for the <entity> Washington Institute for Near East Policy </entity> .
train-73	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-73_16k.wav:0:162366	10600	162366	<triplet> Atomenergoproekt institute <subj> St. Petersburg <obj> Base	0	en	He disclosed that engineers at the <entity> St. Petersburg </entity> branch of the <entity> Atomenergoproekt institute </entity> were completing work on the design of a new NP-500 reactor .
train-74	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-74_16k.wav:0:206204	13340	206204	<triplet> Barry Goldwater <subj> Arizona <obj> Live	0	en	But <entity> four years </entity> later , <entity> Wright </entity> said he would vote against <entity> Barry Goldwater </entity> because he felt the <entity> Arizona </entity> senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '
train-75	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-75_16k.wav:0:162367	10600	162367	<triplet> Jose Tulio Gomez <subj> DIMA <obj> Work	0	en	<entity> DIMA </entity> 's technical manager , engineer <entity> Jose Tulio Gomez </entity> , said that in addition to industrial wastes , the rivers are also contaminated by human waste , and diesel and petroleum residues discarded by a number of factories .
